"obs","InvEventFK","InvCount","InvName","sitetaxa","newtaxa","sing_doub","uniq_dup"
"59",4207,"CBay13_0309",3,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"60",4280,"CBay13_0161",3,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"61",4418,"CBay13_1506",3,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"62",522,"CBay13_0139",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"63",5605,"CBay13_0019",6,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"64",5656,"CBay13_0308",6,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"65",5947,"CBay13_1618",7,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"66",6068,"CBay13_0095",8,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"67",672,"CBay13_0013",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"68",704,"CBay13_0175",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"69",737,"CBay13_0257",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"70",804,"CBay13_0053",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"71",895,"CBay13_0325",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"72",921,"CBay13_0197",1,"Ablabesmyia","Ablabesmyia","Ablabesmyia mallochi",0,0
"73",1005,"CBay13_0008",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"74",118,"CBay13_0205",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"75",2076,"CBay13_0011",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"76",2328,"CBay13_0158",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"77",242,"CBay13_0135",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"78",3010,"CBay13_0171",2,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"79",642,"CBay13_0328",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"80",978,"CBay13_0404",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"81",993,"CBay13_0212",1,"Ablabesmyia mallochi","Ablabesmyia mallochi","Ablabesmyia mallochi",0,0
"82",4768,"CBay13_0057",4,"Ablabesmyia monilis","Ablabesmyia monilis","Ablabesmyia monilis",0,2
"83",1886,"CBay13_1633",1,"Ablabesmyia monilis","Ablabesmyia monilis","Ablabesmyia monilis",0,2
"84",630,"CBay13_0264",1,"Ablabesmyia peleensis","Ablabesmyia peleensis","Ablabesmyia peleensis",1,1
"85",605,"CBay13_0193",1,"Actinobdella pediculata","Actinobdella pediculata","Actinobdella pediculata",1,1
"86",5559,"CBay13_0008",5,"Agraylea","Agraylea","Agraylea",0,1
"87",1125,"CBay13_0209",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"88",1282,"CBay13_0049",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"89",1445,"CBay13_0111",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"90",1558,"CBay13_1673",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"91",1564,"CBay13_1518",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"92",1631,"CBay13_0136",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"93",1716,"CBay13_0280",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"94",1820,"CBay13_0288",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"95",1884,"CBay13_1633",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"96",2129,"CBay13_0056",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"97",2178,"CBay13_1538",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"98",2259,"CBay13_1573",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"99",2311,"CBay13_1593",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"100",2516,"CBay13_1599",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"101",2571,"CBay13_1514",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"102",258,"CBay13_0083",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"103",2874,"CBay13_0027",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"104",2934,"CBay13_0058",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"105",2938,"CBay13_0341",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"106",2961,"CBay13_0006",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"107",2979,"CBay13_0061",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"108",3049,"CBay13_1529",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"109",3108,"CBay13_0175",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"110",3142,"CBay13_0117",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"111",3163,"CBay13_0002",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"112",3167,"CBay13_0037",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"113",3179,"CBay13_0177",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"114",3209,"CBay13_0285",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"115",325,"CBay13_0033",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"116",3286,"CBay13_0293",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"117",3457,"CBay13_0126",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"118",3632,"CBay13_1504",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"119",3718,"CBay13_0120",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"120",3794,"CBay13_1617",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"121",3828,"CBay13_1532",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"122",3835,"CBay13_1564",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"123",3852,"CBay13_1595",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"124",3967,"CBay13_0293",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"125",3974,"CBay13_0045",2,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"126",4020,"CBay13_0121",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"127",4080,"CBay13_0149",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
